model,feature,p_value,actual_mean_importance,null_mean_importance,r2_mean,r2_variance,mae_mean,mae_variance
RandomForest_RFE,original_firstorder_MeanAbsoluteDeviation,0.008188172318700188,0.012150766862517702,0.018483080227167215,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Minimum,4.0317470703429334e-18,0.027241031400129154,0.055057750860092805,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_RootMeanSquared,0.13176215990349666,0.05190256284027845,0.047012218795457375,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Skewness,2.5938768182982518e-12,0.02543463379478113,0.04509719676973653,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_glrlm_LongRunEmphasis,0.05748529381513852,0.04722572740246387,0.05167970604016441,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_glrlm_RunEntropy,1.992971760196953e-09,0.02550066009846155,0.03782240434199315,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_glrlm_RunLengthNonUniformityNormalized,5.762939184915345e-16,0.02258097516296608,0.04574921955038972,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_DependenceNonUniformityNormalized,4.1593637924486e-23,0.09382516268388277,0.004683111128321193,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_DependenceVariance,0.00014055216243402286,0.010440535652593634,0.02015528533169844,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_SmallDependenceHighGrayLevelEmphasis,7.81042256264432e-15,0.020012816455440844,0.04650684504564401,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_SmallDependenceLowGrayLevelEmphasis,6.271882334183771e-13,0.05553887655195798,0.022344342454242983,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_ngtdm_Contrast,4.846195209804461e-05,0.039022563488566794,0.029753871010727236,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
