feature,p_value,n_thresholds_actual,n_thresholds_null,actual_mean,null_mean,mean_r2,mean_mae
original_shape2D_MinorAxisLength_slope_t48_t72,,0,54,,-0.012631564284674823,,0.13596141547516663
original_shape2D_Perimeter_t0,,0,52,,0.08959645164521554,,0.13596141547516663
original_shape2D_Perimeter_t24,,1,150,-0.4291717857122421,-0.25926553110359235,,0.13596141547516663
original_shape2D_Perimeter_t48,,0,91,,0.11934563148623475,,0.13596141547516663
original_shape2D_Perimeter_t72,,0,132,,0.10687207334470286,,0.13596141547516663
original_shape2D_Perimeter_delta,,0,28,,0.09565770952031016,,0.13596141547516663
original_shape2D_Perimeter_slope,,0,269,,-0.0007020046222144841,,0.13596141547516663
original_shape2D_Perimeter_mean,,0,93,,0.03181117278353501,,0.13596141547516663
original_shape2D_Perimeter_std,,0,159,,0.3862461950044212,,0.13596141547516663
original_shape2D_Perimeter_slope_t0_t24,,1,188,0.017430599546059966,-0.0053103646299705164,,0.13596141547516663
original_shape2D_Perimeter_delta_t24_t48,,0,55,,0.20191248519854113,,0.13596141547516663
original_shape2D_Perimeter_delta_t48_t72,,0,97,,-0.06310696721307396,,0.13596141547516663
original_shape2D_Perimeter_slope_t48_t72,,1,66,-0.00936195533722639,-0.0042380536906421185,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_t0,,0,101,,-0.38836394016179115,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_t24,,0,59,,0.12721185755552883,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_t48,,0,30,,0.1680095667174707,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_t72,,1,292,0.23071181029081345,0.4644523581796109,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_mean,,0,138,,0.07749737061533159,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_std,,1,203,0.40519852936267853,0.354964111055353,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_delta_t0_t24,,0,42,,0.37885408354036154,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_slope_t0_t24,,0,132,,0.007691833976423368,,0.13596141547516663
original_shape2D_PerimeterSurfaceRatio_delta_t24_t48,,1,124,-0.019646271131932735,-0.050480108265013944,,0.13596141547516663
original_shape2D_Sphericity_t0,,0,60,,0.2308063168078661,,0.13596141547516663
original_shape2D_Sphericity_t24,,0,46,,0.2017549408635165,,0.13596141547516663
original_shape2D_Sphericity_t72,,0,54,,-0.18261925758862937,,0.13596141547516663
original_shape2D_Sphericity_delta,,0,63,,-0.5275052921210844,,0.13596141547516663
original_shape2D_Sphericity_slope,,0,100,,-0.004578344184410526,,0.13596141547516663
original_shape2D_Sphericity_mean,,1,75,-0.07418090105056763,-0.12784524727612734,,0.13596141547516663
original_shape2D_Sphericity_slope_t0_t24,,0,31,,-0.0027055545210567934,,0.13596141547516663
original_shape2D_Sphericity_slope_t48_t72,,0,238,,-0.0063746391737857094,,0.13596141547516663
original_firstorder_10Percentile_t48,,0,22,,0.04149537194858898,,0.13596141547516663
original_firstorder_10Percentile_t72,,1,91,-0.20954102277755737,-0.42130686722920985,,0.13596141547516663
original_firstorder_10Percentile_delta,,0,23,,-0.26181886025259027,,0.13596141547516663
original_firstorder_10Percentile_slope,,0,83,,-0.0025161454124104075,,0.13596141547516663
original_firstorder_10Percentile_mean,,1,100,-0.2205870822072029,-0.07460785616189242,,0.13596141547516663
original_firstorder_10Percentile_delta_t0_t24,,1,328,0.4949481934309006,0.005301378528224077,,0.13596141547516663
original_firstorder_10Percentile_delta_t24_t48,,0,169,,-0.15298503471886982,,0.13596141547516663
original_firstorder_10Percentile_slope_t24_t48,,1,223,0.000779472291469574,-0.0047716982512182905,,0.13596141547516663
original_firstorder_10Percentile_delta_t48_t72,,0,189,,-0.23371291448850007,,0.13596141547516663
original_firstorder_10Percentile_slope_t48_t72,,0,23,,-0.004583398806457611,,0.13596141547516663
original_firstorder_90Percentile_t0,,0,54,,-0.1929131943422059,,0.13596141547516663
original_firstorder_90Percentile_t48,,0,50,,0.17301649324595927,,0.13596141547516663
original_firstorder_90Percentile_t72,,0,136,,-0.06145631836946396,,0.13596141547516663
original_firstorder_90Percentile_delta,,0,62,,0.22185279477027156,,0.13596141547516663
original_firstorder_90Percentile_slope,,0,40,,0.0024384855991229416,,0.13596141547516663
original_firstorder_90Percentile_mean,,0,30,,0.059098447304374226,,0.13596141547516663
original_firstorder_90Percentile_std,,0,121,,0.3966640497226853,,0.13596141547516663
original_firstorder_90Percentile_slope_t0_t24,,0,33,,-0.0019354953300066743,,0.13596141547516663
original_firstorder_90Percentile_delta_t24_t48,,0,66,,-0.060278480789610046,,0.13596141547516663
original_firstorder_90Percentile_slope_t24_t48,,1,174,-0.0015703656499681529,9.608383810826063e-05,,0.13596141547516663
original_firstorder_90Percentile_delta_t48_t72,,0,212,,0.06410943202779822,,0.13596141547516663
original_firstorder_90Percentile_slope_t48_t72,,0,51,,0.0022626705656019863,,0.13596141547516663
original_firstorder_Energy_t0,,0,138,,0.002115171083816044,,0.13596141547516663
original_firstorder_Energy_t24,,0,116,,-0.23469459422831906,,0.13596141547516663
original_firstorder_Energy_t48,,0,53,,0.11941322395226585,,0.13596141547516663
original_firstorder_Energy_t72,,0,77,,0.09299283032003161,,0.13596141547516663
original_firstorder_Energy_delta,,0,8,,0.2247465057298541,,0.13596141547516663
original_firstorder_Energy_slope,,1,158,-0.0040868757059797645,0.00043355120703116756,,0.13596141547516663
original_firstorder_Energy_std,,0,88,,0.39545918780971656,,0.13596141547516663
original_firstorder_Energy_delta_t0_t24,,0,25,,-0.20161324232816696,,0.13596141547516663
original_firstorder_Energy_slope_t0_t24,,0,118,,-0.00330055526248574,,0.13596141547516663
original_firstorder_Energy_delta_t24_t48,,0,58,,-0.05646465153529726,,0.13596141547516663
original_firstorder_Energy_slope_t24_t48,,0,75,,-0.0003538796410430223,,0.13596141547516663
original_firstorder_Energy_delta_t48_t72,,0,145,,-0.28869154276005154,,0.13596141547516663
original_firstorder_Energy_slope_t48_t72,,0,94,,-0.0026713349123267415,,0.13596141547516663
original_firstorder_InterquartileRange_t0,,0,102,,0.031891098172933445,,0.13596141547516663
original_firstorder_InterquartileRange_t48,,0,84,,-0.06279942945721337,,0.13596141547516663
original_firstorder_InterquartileRange_t72,,1,184,0.9217105209827423,0.21021792246534934,,0.13596141547516663
original_firstorder_InterquartileRange_slope,,0,43,,0.0026579266668704804,,0.13596141547516663
original_firstorder_InterquartileRange_mean,,0,179,,-0.02446256361006858,,0.13596141547516663
original_firstorder_InterquartileRange_std,,1,76,0.16719449311494827,0.24749447101433025,,0.13596141547516663
original_firstorder_InterquartileRange_delta_t24_t48,,1,149,-0.1762397587299347,0.18821032992376627,,0.13596141547516663
original_firstorder_InterquartileRange_slope_t24_t48,,0,55,,0.009484756795493675,,0.13596141547516663
original_firstorder_InterquartileRange_slope_t48_t72,,1,31,0.01235976000316441,0.007013414220813091,,0.13596141547516663
original_firstorder_Kurtosis_t0,,0,132,,0.008045916226833608,,0.13596141547516663
original_firstorder_Kurtosis_t24,,0,39,,0.37363899260974276,,0.13596141547516663
original_firstorder_Kurtosis_t48,,0,139,,-0.06724299342378223,,0.13596141547516663
original_firstorder_Kurtosis_delta,,0,229,,-0.27235143661181804,,0.13596141547516663
original_firstorder_Kurtosis_slope,,0,81,,-0.005415025508867715,,0.13596141547516663
original_firstorder_Kurtosis_mean,,0,176,,0.039213361207988455,,0.13596141547516663
original_firstorder_Kurtosis_delta_t0_t24,,0,74,,0.5769944810182661,,0.13596141547516663
original_firstorder_Kurtosis_slope_t0_t24,,0,28,,0.01432367175584659,,0.13596141547516663
original_firstorder_Kurtosis_delta_t24_t48,,0,48,,0.06874059688804361,,0.13596141547516663
original_firstorder_Kurtosis_slope_t24_t48,,0,34,,-0.01229521494550521,,0.13596141547516663
original_firstorder_Kurtosis_delta_t48_t72,,0,94,,-0.22032880101432192,,0.13596141547516663
