feature,n_folds_selected,selection_frequency
original_gldm_DependenceVariance_t24,8,0.2857142857142857
original_shape2D_MeshSurface_slope_t48_t72,8,0.2857142857142857
original_shape2D_MinorAxisLength_t48,8,0.2857142857142857
original_shape2D_MinorAxisLength_t24,8,0.2857142857142857
original_glrlm_RunLengthNonUniformityNormalized_slope_t0_t24,8,0.2857142857142857
original_glrlm_RunLengthNonUniformityNormalized_slope,8,0.2857142857142857
original_shape2D_MeshSurface_delta_t24_t48,8,0.2857142857142857
original_firstorder_Skewness_slope_t48_t72,8,0.2857142857142857
original_shape2D_PerimeterSurfaceRatio_delta_t24_t48,8,0.2857142857142857
original_shape2D_PerimeterSurfaceRatio_slope_t24_t48,8,0.2857142857142857
original_firstorder_Skewness_delta_t48_t72,8,0.2857142857142857
original_glrlm_LongRunEmphasis_slope_t48_t72,8,0.2857142857142857
original_firstorder_90Percentile_slope_t48_t72,8,0.2857142857142857
original_firstorder_Minimum_slope,8,0.2857142857142857
original_firstorder_Minimum_t72,8,0.2857142857142857
original_firstorder_Minimum_delta,8,0.2857142857142857
original_firstorder_MeanAbsoluteDeviation_delta_t0_t24,8,0.2857142857142857
original_firstorder_Maximum_delta,8,0.2857142857142857
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t48_t72,8,0.2857142857142857
original_shape2D_MajorAxisLength_t48,8,0.2857142857142857
original_firstorder_Kurtosis_slope_t48_t72,7,0.25
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t48_t72,7,0.25
original_firstorder_MeanAbsoluteDeviation_delta_t24_t48,7,0.25
original_firstorder_MeanAbsoluteDeviation_slope_t24_t48,7,0.25
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t24_t48,7,0.25
original_firstorder_Minimum_delta_t0_t24,7,0.25
original_firstorder_InterquartileRange_delta_t24_t48,7,0.25
original_firstorder_MeanAbsoluteDeviation_slope_t0_t24,7,0.25
original_glrlm_RunLengthNonUniformityNormalized_t0,7,0.25
original_glrlm_RunEntropy_delta,7,0.25
original_glrlm_LongRunEmphasis_delta_t24_t48,7,0.25
original_firstorder_90Percentile_delta_t48_t72,7,0.25
original_firstorder_Skewness_delta_t24_t48,7,0.25
original_firstorder_Energy_t48,7,0.25
original_firstorder_Skewness_t24,7,0.25
original_firstorder_RootMeanSquared_slope_t0_t24,7,0.25
original_shape2D_MinorAxisLength_std,7,0.25
original_shape2D_MeshSurface_slope_t24_t48,7,0.25
original_glrlm_RunLengthNonUniformityNormalized_delta,7,0.25
original_gldm_DependenceNonUniformityNormalized_std,7,0.25
original_gldm_DependenceVariance_t0,7,0.25
original_ngtdm_Contrast_slope_t0_t24,7,0.25
original_gldm_SmallDependenceHighGrayLevelEmphasis_std,7,0.25
original_shape2D_MajorAxisLength_delta_t0_t24,7,0.25
original_firstorder_InterquartileRange_t48,7,0.25
original_firstorder_Energy_delta_t0_t24,7,0.25
original_firstorder_Kurtosis_delta_t48_t72,6,0.21428571428571427
original_firstorder_Minimum_t48,6,0.21428571428571427
original_firstorder_MeanAbsoluteDeviation_t0,6,0.21428571428571427
original_shape2D_Elongation_delta_t48_t72,6,0.21428571428571427
original_firstorder_Minimum_mean,6,0.21428571428571427
original_gldm_DependenceVariance_slope,6,0.21428571428571427
original_firstorder_InterquartileRange_slope_t24_t48,6,0.21428571428571427
original_firstorder_Kurtosis_std,6,0.21428571428571427
original_shape2D_MinorAxisLength_delta_t48_t72,6,0.21428571428571427
original_glrlm_RunLengthNonUniformityNormalized_slope_t24_t48,6,0.21428571428571427
original_firstorder_Skewness_t0,6,0.21428571428571427
original_gldm_DependenceVariance_delta,6,0.21428571428571427
original_shape2D_MinorAxisLength_slope_t24_t48,6,0.21428571428571427
original_shape2D_MeshSurface_delta_t48_t72,6,0.21428571428571427
original_shape2D_MajorAxisLength_slope_t0_t24,6,0.21428571428571427
