model,fold,feature,importance,r2,mae
RandomForest,7,original_shape2D_MeshSurface,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_shape2D_MinorAxisLength,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_shape2D_Perimeter,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_shape2D_PerimeterSurfaceRatio,0.1512177155600286,0.05163531666956589,0.16560300991441848
RandomForest,7,original_shape2D_Sphericity,0.09753888414239267,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_10Percentile,0.061180275944510636,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_90Percentile,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_Energy,0.05110607419300135,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_InterquartileRange,0.05033481461459559,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_Kurtosis,0.10211402521463783,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_Maximum,0.06220924793453908,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_MeanAbsoluteDeviation,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_Minimum,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_RootMeanSquared,0.07191830185805743,0.05163531666956589,0.16560300991441848
RandomForest,7,original_firstorder_Skewness,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_glrlm_LongRunEmphasis,0.060681811898393195,0.05163531666956589,0.16560300991441848
RandomForest,7,original_glrlm_RunEntropy,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_gldm_DependenceNonUniformityNormalized,0.11604064930196639,0.05163531666956589,0.16560300991441848
RandomForest,7,original_gldm_DependenceVariance,0.0,0.05163531666956589,0.16560300991441848
RandomForest,7,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.05163531666956589,0.16560300991441848
